0,1,2,3,4,5,6,7,8,9,10
other vegetables,yogurt,,,,,,,,,
yogurt,butter milk,,,,,,,,,
root vegetables,whipped/sour cream,chocolate,,,,,,,,
sausage,pip fruit,,,,,,,,,
root vegetables,yogurt,napkins,,,,,,,,
pork,berries,,,,,,,,,
cream cheese ,salt,,,,,,,,,
other vegetables,detergent,mayonnaise,dishes,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
meat,UHT-milk,,,,,,,,,
butter milk,canned beer,yogurt,semi-finished bread,margarine,,,,,,
rolls/buns,soda,,,,,,,,,
semi-finished bread,whole milk,mustard,,,,,,,,
root vegetables,coffee,domestic eggs,soda,,,,,,,
tropical fruit,waffles,,,,,,,,,
pot plants,shopping bags,coffee,,,,,,,,
other vegetables,brown bread,hard cheese,salty snack,,,,,,,
salty snack,soups,brown bread,,,,,,,,
cream cheese ,specialty chocolate,,,,,,,,,
pork,cake bar,,,,,,,,,
organic sausage,salty snack,white bread,,,,,,,,
specialty chocolate,onions,,,,,,,,,
fruit/vegetable juice,frozen vegetables,chocolate,,,,,,,,
chicken,tropical fruit,,,,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
sausage,other vegetables,hard cheese,,,,,,,,
pork,whole milk,other vegetables,tidbits,coffee,,,,,,
chicken,other vegetables,,,,,,,,,
napkins,fruit/vegetable juice,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
bottled beer,butter,,,,,,,,,
whole milk,pip fruit,detergent,,,,,,,,
pip fruit,tidbits,,,,,,,,,
liver loaf,margarine,cat food,,,,,,,,
whole milk,pork,whole milk,whole milk,,,,,,,
chicken,onions,,,,,,,,,
bottled water,citrus fruit,butter,whole milk,,,,,,,
citrus fruit,bottled beer,butter milk,,,,,,,,
red/blush wine,bottled water,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
processed cheese,dog food,frozen potato products,,,,,,,,
cream cheese ,baking powder,,,,,,,,,
berries,root vegetables,,,,,,,,,
newspapers,soda,canned beer,,,,,,,,
cream cheese ,UHT-milk,,,,,,,,,
bottled beer,bottled water,whipped/sour cream,sugar,,,,,,,
meat,chicken,yogurt,pip fruit,,,,,,,
whole milk,canned vegetables,,,,,,,,,
ham,rolls/buns,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
frankfurter,chicken,cocoa drinks,onions,whole milk,UHT-milk,canned fish,bottled beer,,,
soft cheese,pork,white bread,fruit/vegetable juice,,,,,,,
flower soil/fertilizer,rolls/buns,yogurt,ice cream,whipped/sour cream,,,,,,
meat spreads,hard cheese,frozen vegetables,butter,,,,,,,
citrus fruit,whole milk,,,,,,,,,
frankfurter,meat,roll products ,pip fruit,,,,,,,
canned fruit,brown bread,,,,,,,,,
canned beer,dessert,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
pet care,shopping bags,,,,,,,,,
rolls/buns,brown bread,whole milk,pasta,curd,butter milk,,,,,
waffles,yogurt,,,,,,,,,
sugar,flour,,,,,,,,,
flower soil/fertilizer,yogurt,specialty chocolate,,,,,,,,
grapes,pastry,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
bottled water,grapes,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
pastry,liqueur,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
pickled vegetables,flour,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
whole milk,soda,newspapers,,,,,,,,
root vegetables,bottled water,,,,,,,,,
frozen fish,rolls/buns,,,,,,,,,
soda,pip fruit,,,,,,,,,
margarine,mayonnaise,,,,,,,,,
liver loaf,canned beer,candy,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
canned beer,whole milk,rolls/buns,,,,,,,,
frankfurter,ketchup,,,,,,,,,
citrus fruit,toilet cleaner,,,,,,,,,
shopping bags,newspapers,curd,hard cheese,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
cake bar,Instant food products,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
whole milk,red/blush wine,newspapers,,,,,,,,
cat food,other vegetables,,,,,,,,,
soda,other vegetables,,,,,,,,,
hygiene articles,grapes,,,,,,,,,
other vegetables,onions,shopping bags,,,,,,,,
whole milk,other vegetables,,,,,,,,,
chicken,hygiene articles,,,,,,,,,
whole milk,other vegetables,other vegetables,sugar,,,,,,,
root vegetables,root vegetables,,,,,,,,,
citrus fruit,canned beer,flour,,,,,,,,
soda,spices,,,,,,,,,
pastry,pet care,,,,,,,,,
pip fruit,chewing gum,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
cat food,whole milk,chocolate,,,,,,,,
rolls/buns,other vegetables,curd,spread cheese,candles,,,,,,
rolls/buns,bottled water,white bread,brown bread,,,,,,,
liquor,tropical fruit,other vegetables,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
fruit/vegetable juice,packaged fruit/vegetables,,,,,,,,,
sausage,soda,curd,house keeping products,,,,,,,
rolls/buns,margarine,whole milk,liquor (appetizer),,,,,,,
ham,pickled vegetables,,,,,,,,,
specialty chocolate,white bread,shopping bags,,,,,,,,
bottled water,pastry,specialty bar,herbs,,,,,,,
hamburger meat,root vegetables,fruit/vegetable juice,,,,,,,,
chocolate,root vegetables,,,,,,,,,
soda,candy,,,,,,,,,
butter,dessert,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
cream cheese ,frankfurter,root vegetables,yogurt,,,,,,,
soda,hygiene articles,grapes,pudding powder,butter milk,butter,,,,,
whole milk,ice cream,soda,yogurt,spices,,,,,,
rolls/buns,baking powder,onions,bottled water,,,,,,,
canned beer,UHT-milk,,,,,,,,,
canned beer,whole milk,,,,,,,,,
root vegetables,yogurt,whole milk,,,,,,,,
UHT-milk,curd,,,,,,,,,
grapes,processed cheese,,,,,,,,,
yogurt,salty snack,,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
turkey,meat,rolls/buns,,,,,,,,
whole milk,hard cheese,white bread,,,,,,,,
onions,ice cream,,,,,,,,,
candles,canned beer,,,,,,,,,
dental care,soda,,,,,,,,,
pork,yogurt,coffee,,,,,,,,
sugar,bottled water,,,,,,,,,
curd cheese,canned beer,,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
rolls/buns,detergent,,,,,,,,,
oil,canned fish,,,,,,,,,
butter,fruit/vegetable juice,soda,,,,,,,,
pastry,rolls/buns,,,,,,,,,
frozen vegetables,dishes,root vegetables,pastry,,,,,,,
brown bread,frozen meals,herbs,whole milk,hard cheese,,,,,,
canned beer,root vegetables,,,,,,,,,
whole milk,yogurt,chocolate,,,,,,,,
sausage,finished products,,,,,,,,,
berries,rolls/buns,,,,,,,,,
chicken,yogurt,UHT-milk,root vegetables,yogurt,hard cheese,semi-finished bread,frozen potato products,,,
sausage,UHT-milk,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
citrus fruit,sparkling wine,bottled water,,,,,,,,
root vegetables,frozen vegetables,rolls/buns,,,,,,,,
whole milk,pot plants,,,,,,,,,
brown bread,waffles,,,,,,,,,
whipped/sour cream,dish cleaner,,,,,,,,,
tropical fruit,curd,chocolate,,,,,,,,
candy,curd,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
cream cheese ,root vegetables,soda,,,,,,,,
root vegetables,newspapers,,,,,,,,,
sausage,grapes,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
semi-finished bread,newspapers,,,,,,,,,
sweet spreads,flower (seeds),,,,,,,,,
bottled beer,butter milk,,,,,,,,,
waffles,whole milk,,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
white bread,photo/film,,,,,,,,,
UHT-milk,cream cheese ,cream cheese ,waffles,,,,,,,
citrus fruit,flour,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
soda,margarine,soda,,,,,,,,
coffee,whole milk,mustard,,,,,,,,
whole milk,pip fruit,,,,,,,,,
frankfurter,pickled vegetables,other vegetables,,,,,,,,
pet care,photo/film,,,,,,,,,
rolls/buns,chicken,cream cheese ,dishes,,,,,,,
canned beer,whole milk,frozen vegetables,cream cheese ,spread cheese,,,,,,
ham,pastry,,,,,,,,,
sausage,specialty chocolate,,,,,,,,,
whole milk,seasonal products,,,,,,,,,
whole milk,beverages,,,,,,,,,
meat,domestic eggs,packaged fruit/vegetables,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
tropical fruit,dessert,,,,,,,,,
citrus fruit,other vegetables,yogurt,,,,,,,,
whole milk,rolls/buns,tropical fruit,other vegetables,cake bar,rolls/buns,curd,,,,
coffee,bottled beer,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
pip fruit,herbs,frozen meals,,,,,,,,
pip fruit,meat,frozen vegetables,bottled water,,,,,,,
hamburger meat,salty snack,shopping bags,,,,,,,,
frozen vegetables,chicken,,,,,,,,,
canned fish,rolls/buns,chocolate,artif. sweetener,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
pork,liquor,long life bakery product,,,,,,,,
beef,mustard,,,,,,,,,
beef,beef,,,,,,,,,
flour,seasonal products,,,,,,,,,
waffles,brown bread,,,,,,,,,
frankfurter,other vegetables,soda,,,,,,,,
pork,whole milk,,,,,,,,,
other vegetables,margarine,other vegetables,,,,,,,,
margarine,beef,whipped/sour cream,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
pastry,domestic eggs,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sausage,beef,salty snack,,,,,,,,
hamburger meat,sliced cheese,,,,,,,,,
fish,tropical fruit,red/blush wine,cream cheese ,,,,,,,
sugar,curd,,,,,,,,,
butter,newspapers,,,,,,,,,
soda,frankfurter,butter,whole milk,,,,,,,
sausage,zwieback,sliced cheese,other vegetables,bottled beer,soda,,,,,
mayonnaise,pastry,,,,,,,,,
canned beer,flour,,,,,,,,,
root vegetables,soda,,,,,,,,,
beef,sparkling wine,frozen fish,chewing gum,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
pip fruit,butter,,,,,,,,,
butter,brown bread,,,,,,,,,
sugar,whole milk,,,,,,,,,
butter milk,mayonnaise,,,,,,,,,
soda,soda,,,,,,,,,
curd,soda,,,,,,,,,
brown bread,pasta,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
whole milk,fish,other vegetables,soda,,,,,,,
domestic eggs,salty snack,herbs,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
other vegetables,processed cheese,,,,,,,,,
sausage,soda,,,,,,,,,
white bread,frozen fruits,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
canned beer,rolls/buns,rolls/buns,,,,,,,,
sausage,grapes,,,,,,,,,
tropical fruit,rolls/buns,root vegetables,,,,,,,,
oil,butter milk,cling film/bags,pastry,,,,,,,
other vegetables,rice,specialty fat,,,,,,,,
chicken,butter,,,,,,,,,
cream cheese ,frozen meals,,,,,,,,,
soda,cream cheese ,,,,,,,,,
waffles,instant coffee,,,,,,,,,
photo/film,other vegetables,,,,,,,,,
whole milk,berries,yogurt,,,,,,,,
bottled water,soda,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
newspapers,cat food,,,,,,,,,
liquor (appetizer),hygiene articles,,,,,,,,,
pork,curd,,,,,,,,,
UHT-milk,frozen fish,,,,,,,,,
sliced cheese,whole milk,,,,,,,,,
pastry,liquor,shopping bags,,,,,,,,
frankfurter,butter,,,,,,,,,
specialty chocolate,white wine,nuts/prunes,cream cheese ,cake bar,yogurt,frozen vegetables,,,,
beef,grapes,,,,,,,,,
pickled vegetables,other vegetables,,,,,,,,,
beef,specialty bar,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
white bread,citrus fruit,sugar,,,,,,,,
pip fruit,white bread,margarine,baking powder,,,,,,,
newspapers,yogurt,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
dessert,shopping bags,,,,,,,,,
yogurt,frozen fish,chocolate,butter,,,,,,,
pip fruit,whole milk,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
yogurt,ice cream,,,,,,,,,
tropical fruit,whole milk,vinegar,,,,,,,,
bottled beer,root vegetables,hygiene articles,,,,,,,,
light bulbs,frozen vegetables,mustard,napkins,,,,,,,
frankfurter,other vegetables,,,,,,,,,
frozen meals,tidbits,,,,,,,,,
specialty cheese,bottled water,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
sausage,pip fruit,,,,,,,,,
whipped/sour cream,chicken,,,,,,,,,
sausage,sausage,canned beer,spices,,,,,,,
frozen dessert,soda,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
specialty chocolate,pastry,,,,,,,,,
onions,cream cheese ,,,,,,,,,
sausage,butter,,,,,,,,,
herbs,vinegar,shopping bags,,,,,,,,
butter,rolls/buns,,,,,,,,,
fruit/vegetable juice,butter,rolls/buns,,,,,,,,
specialty bar,chewing gum,,,,,,,,,
whole milk,margarine,dessert,,,,,,,,
finished products,rolls/buns,,,,,,,,,
soda,root vegetables,fruit/vegetable juice,,,,,,,,
berries,other vegetables,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
pastry,berries,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
yogurt,shopping bags,cake bar,yogurt,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
whole milk,sugar,,,,,,,,,
pork,honey,newspapers,,,,,,,,
beef,margarine,baking powder,,,,,,,,
curd,coffee,,,,,,,,,
misc. beverages,dishes,,,,,,,,,
frankfurter,pork,pastry,canned vegetables,,,,,,,
coffee,domestic eggs,,,,,,,,,
rolls/buns,semi-finished bread,,,,,,,,,
canned beer,cake bar,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
other vegetables,coffee,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
other vegetables,baking powder,,,,,,,,,
ice cream,curd,,,,,,,,,
pasta,margarine,,,,,,,,,
sparkling wine,chocolate,,,,,,,,,
frozen meals,fruit/vegetable juice,,,,,,,,,
hamburger meat,pork,yogurt,flour,,,,,,,
canned beer,misc. beverages,,,,,,,,,
whole milk,pastry,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
whole milk,canned beer,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
canned beer,rolls/buns,rolls/buns,,,,,,,,
butter milk,canned vegetables,,,,,,,,,
canned fish,newspapers,,,,,,,,,
canned beer,tropical fruit,bottled beer,,,,,,,,
rolls/buns,butter milk,fruit/vegetable juice,,,,,,,,
whole milk,waffles,,,,,,,,,
butter,cake bar,ice cream,fruit/vegetable juice,,,,,,,
whole milk,root vegetables,,,,,,,,,
pork,tropical fruit,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
canned beer,potato products,,,,,,,,,
rum,sugar,,,,,,,,,
ham,tropical fruit,,,,,,,,,
dishes,yogurt,,,,,,,,,
sugar,shopping bags,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
yogurt,soda,frozen vegetables,,,,,,,,
canned beer,yogurt,,,,,,,,,
sauces,rolls/buns,soda,whipped/sour cream,,,,,,,
tropical fruit,yogurt,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
beef,waffles,,,,,,,,,
red/blush wine,yogurt,,,,,,,,,
pip fruit,margarine,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
bottled beer,candy,,,,,,,,,
ham,hamburger meat,whole milk,margarine,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
curd,soda,,,,,,,,,
frozen vegetables,citrus fruit,,,,,,,,,
specialty fat,red/blush wine,,,,,,,,,
photo/film,onions,,,,,,,,,
domestic eggs,candy,,,,,,,,,
napkins,dishes,,,,,,,,,
bottled water,yogurt,,,,,,,,,
pastry,dish cleaner,,,,,,,,,
liver loaf,processed cheese,canned beer,,,,,,,,
pip fruit,vinegar,misc. beverages,,,,,,,,
frankfurter,soda,other vegetables,rolls/buns,rolls/buns,,,,,,
baking powder,bottled water,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
beverages,cake bar,cake bar,frozen meals,,,,,,,
tropical fruit,margarine,,,,,,,,,
chicken,curd,,,,,,,,,
whole milk,dishes,,,,,,,,,
bottled water,chicken,processed cheese,whole milk,,,,,,,
whole milk,newspapers,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
candy,soda,,,,,,,,,
pork,root vegetables,rolls/buns,,,,,,,,
other vegetables,cake bar,,,,,,,,,
root vegetables,yogurt,soda,shopping bags,oil,shopping bags,,,,,
meat,pork,,,,,,,,,
whole milk,newspapers,,,,,,,,,
domestic eggs,brown bread,specialty chocolate,,,,,,,,
chicken,whole milk,,,,,,,,,
soda,soups,,,,,,,,,
tropical fruit,chicken,waffles,,,,,,,,
whole milk,shopping bags,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
pork,other vegetables,,,,,,,,,
frankfurter,soda,,,,,,,,,
pip fruit,canned beer,hygiene articles,coffee,,,,,,,
domestic eggs,pastry,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
soda,other vegetables,chocolate,,,,,,,,
sausage,bottled beer,,,,,,,,,
yogurt,pasta,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
beef,other vegetables,,,,,,,,,
white bread,margarine,,,,,,,,,
red/blush wine,other vegetables,rolls/buns,,,,,,,,
coffee,bottled water,,,,,,,,,
dessert,yogurt,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
sliced cheese,newspapers,,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
beverages,shopping bags,,,,,,,,,
onions,other vegetables,,,,,,,,,
whole milk,sugar,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
specialty chocolate,fruit/vegetable juice,fruit/vegetable juice,rolls/buns,,,,,,,
whole milk,rolls/buns,other vegetables,white bread,,,,,,,
other vegetables,soda,,,,,,,,,
margarine,soda,canned fish,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
shopping bags,yogurt,,,,,,,,,
frankfurter,instant coffee,root vegetables,coffee,instant coffee,sugar,rolls/buns,,,,
candles,rolls/buns,other vegetables,rolls/buns,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
tropical fruit,yogurt,pip fruit,yogurt,yogurt,,,,,,
citrus fruit,chocolate,,,,,,,,,
onions,rolls/buns,,,,,,,,,
whole milk,soda,pickled vegetables,,,,,,,,
pork,brown bread,misc. beverages,,,,,,,,
curd cheese,sausage,bottled water,napkins,,,,,,,
root vegetables,rolls/buns,UHT-milk,packaged fruit/vegetables,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
whole milk,margarine,,,,,,,,,
herbs,curd,,,,,,,,,
flour,dessert,,,,,,,,,
bottled water,soda,,,,,,,,,
soda,rolls/buns,,,,,,,,,
whole milk,pastry,margarine,pastry,,,,,,,
soda,processed cheese,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
onions,grapes,yogurt,tropical fruit,whole milk,salty snack,root vegetables,frozen dessert,whipped/sour cream,,
pip fruit,whole milk,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
root vegetables,soda,,,,,,,,,
domestic eggs,candy,,,,,,,,,
whole milk,chocolate,roll products ,,,,,,,,
onions,candy,,,,,,,,,
ham,pastry,whole milk,specialty bar,tropical fruit,hard cheese,yogurt,candy,,,
cream cheese ,newspapers,,,,,,,,,
frozen fish,beef,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
sausage,beverages,,,,,,,,,
pork,canned fish,zwieback,frozen vegetables,,,,,,,
soda,other vegetables,,,,,,,,,
newspapers,roll products ,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
root vegetables,other vegetables,specialty chocolate,,,,,,,,
salty snack,frozen vegetables,,,,,,,,,
beef,tropical fruit,,,,,,,,,
canned fish,bottled water,rolls/buns,,,,,,,,
other vegetables,semi-finished bread,shopping bags,,,,,,,,
pastry,shopping bags,sugar,,,,,,,,
sausage,whole milk,pastry,rolls/buns,coffee,bottled beer,chocolate,rolls/buns,,,
ice cream,whipped/sour cream,,,,,,,,,
bottled water,other vegetables,spread cheese,yogurt,specialty bar,,,,,,
pip fruit,coffee,UHT-milk,,,,,,,,
pork,pork,whole milk,pasta,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
sausage,pip fruit,,,,,,,,,
other vegetables,pastry,,,,,,,,,
pork,brown bread,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
beef,newspapers,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
onions,grapes,,,,,,,,,
curd cheese,mustard,bottled water,,,,,,,,
whole milk,other vegetables,,,,,,,,,
soda,beverages,,,,,,,,,
sausage,bottled water,,,,,,,,,
canned beer,berries,butter,baking powder,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
oil,soda,waffles,,,,,,,,
bottled water,pastry,,,,,,,,,
frankfurter,soda,,,,,,,,,
citrus fruit,baking powder,,,,,,,,,
cling film/bags,domestic eggs,domestic eggs,,,,,,,,
beverages,beverages,hamburger meat,frankfurter,soda,root vegetables,butter,cream cheese ,butter,,
root vegetables,popcorn,,,,,,,,,
chewing gum,whole milk,white bread,whole milk,dishes,,,,,,
rolls/buns,bottled water,other vegetables,finished products,other vegetables,butter,yogurt,rolls/buns,citrus fruit,,
spread cheese,whole milk,,,,,,,,,
meat,pasta,,,,,,,,,
pastry,bottled water,,,,,,,,,
pot plants,soda,,,,,,,,,
napkins,dessert,,,,,,,,,
semi-finished bread,pip fruit,,,,,,,,,
newspapers,salty snack,,,,,,,,,
baking powder,brown bread,,,,,,,,,
root vegetables,hygiene articles,newspapers,,,,,,,,
other vegetables,berries,,,,,,,,,
dessert,rice,,,,,,,,,
whole milk,soda,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
frankfurter,oil,soda,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
canned fish,canned fish,,,,,,,,,
coffee,oil,,,,,,,,,
frozen potato products,soda,,,,,,,,,
tropical fruit,cooking chocolate,,,,,,,,,
flour,pastry,,,,,,,,,
beef,shopping bags,,,,,,,,,
beef,butter milk,,,,,,,,,
soda,flour,pudding powder,,,,,,,,
oil,margarine,,,,,,,,,
canned beer,curd,,,,,,,,,
meat,rolls/buns,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
other vegetables,beverages,,,,,,,,,
ham,yogurt,,,,,,,,,
rolls/buns,pastry,butter,processed cheese,other vegetables,whole milk,chocolate,hard cheese,butter,,
chewing gum,ham,,,,,,,,,
pastry,canned beer,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
pip fruit,abrasive cleaner,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
butter,long life bakery product,,,,,,,,,
yogurt,canned beer,,,,,,,,,
whole milk,soda,root vegetables,pastry,specialty fat,bottled water,napkins,tropical fruit,,,
white bread,frozen vegetables,soda,,,,,,,,
whole milk,butter,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
bottled water,specialty chocolate,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
ham,red/blush wine,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
finished products,margarine,whipped/sour cream,,,,,,,,
beef,root vegetables,,,,,,,,,
dessert,red/blush wine,,,,,,,,,
sausage,tropical fruit,yogurt,,,,,,,,
beef,bottled beer,herbs,,,,,,,,
chicken,rolls/buns,pip fruit,pastry,frozen meals,,,,,,
sausage,sliced cheese,salty snack,,,,,,,,
frankfurter,beverages,beef,whole milk,other vegetables,rolls/buns,softener,vinegar,white bread,,
kitchen towels,sliced cheese,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
specialty bar,chicken,,,,,,,,,
canned beer,whole milk,,,,,,,,,
other vegetables,margarine,,,,,,,,,
soda,yogurt,,,,,,,,,
tropical fruit,artif. sweetener,,,,,,,,,
sausage,white wine,,,,,,,,,
chicken,other vegetables,,,,,,,,,
tropical fruit,yogurt,misc. beverages,,,,,,,,
other vegetables,specialty bar,long life bakery product,,,,,,,,
tropical fruit,other vegetables,rice,,,,,,,,
tropical fruit,spread cheese,onions,mayonnaise,,,,,,,
rolls/buns,margarine,,,,,,,,,
salty snack,white wine,,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
pip fruit,waffles,,,,,,,,,
sausage,beef,,,,,,,,,
berries,soda,butter,other vegetables,white bread,cream cheese ,,,,,
tropical fruit,citrus fruit,chocolate,,,,,,,,
berries,other vegetables,,,,,,,,,
other vegetables,margarine,,,,,,,,,
chewing gum,newspapers,candy,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,cat food,pastry,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pip fruit,frozen vegetables,whipped/sour cream,whipped/sour cream,,,,,,,
onions,canned fruit,,,,,,,,,
detergent,ice cream,hamburger meat,soda,sugar,,,,,,
pastry,pork,,,,,,,,,
waffles,cling film/bags,,,,,,,,,
chicken,root vegetables,,,,,,,,,
long life bakery product,long life bakery product,whipped/sour cream,soda,,,,,,,
soda,soda,domestic eggs,,,,,,,,
beef,soda,,,,,,,,,
curd,nuts/prunes,root vegetables,sausage,whole milk,rolls/buns,root vegetables,bottled water,hard cheese,,
fruit/vegetable juice,dental care,,,,,,,,,
coffee,tidbits,,,,,,,,,
bottled water,root vegetables,rolls/buns,whole milk,coffee,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
pastry,yogurt,,,,,,,,,
berries,ham,,,,,,,,,
pork,brown bread,,,,,,,,,
candy,rolls/buns,UHT-milk,,,,,,,,
specialty chocolate,soda,chocolate,,,,,,,,
beef,canned beer,,,,,,,,,
pip fruit,brandy,,,,,,,,,
butter milk,specialty chocolate,,,,,,,,,
liquor,soda,,,,,,,,,
baking powder,pet care,yogurt,frozen vegetables,,,,,,,
rolls/buns,salty snack,brown bread,cream cheese ,,,,,,,
other vegetables,waffles,,,,,,,,,
bottled beer,fruit/vegetable juice,fruit/vegetable juice,,,,,,,,
domestic eggs,butter,beverages,,,,,,,,
pip fruit,rolls/buns,whole milk,pastry,,,,,,,
other vegetables,domestic eggs,long life bakery product,,,,,,,,
canned vegetables,whole milk,,,,,,,,,
newspapers,bottled water,,,,,,,,,
sweet spreads,white wine,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
canned vegetables,other vegetables,,,,,,,,,
tropical fruit,canned fish,,,,,,,,,
soda,shopping bags,,,,,,,,,
specialty bar,roll products ,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
newspapers,sliced cheese,,,,,,,,,
pork,white wine,,,,,,,,,
beef,Instant food products,,,,,,,,,
dishes,oil,,,,,,,,,
frankfurter,coffee,,,,,,,,,
whole milk,soda,,,,,,,,,
misc. beverages,grapes,instant coffee,,,,,,,,
ice cream,pip fruit,,,,,,,,,
margarine,canned vegetables,,,,,,,,,
finished products,domestic eggs,,,,,,,,,
sausage,fruit/vegetable juice,whole milk,curd,,,,,,,
other vegetables,other vegetables,liquor (appetizer),specialty bar,candles,red/blush wine,,,,,
rolls/buns,soda,,,,,,,,,
citrus fruit,cream cheese ,bottled beer,citrus fruit,,,,,,,
frankfurter,shopping bags,,,,,,,,,
root vegetables,whipped/sour cream,frozen potato products,sugar,,,,,,,
